,lead_number,activity_score,profile_score,converted
0,660737,15.0,15.0,0
1,660728,15.0,15.0,0
2,660727,14.0,20.0,1
3,660719,13.0,17.0,0
4,660681,15.0,18.0,1
5,660680,17.0,15.0,0
6,660673,14.0,20.0,1
7,660664,15.0,15.0,0
8,660624,14.0,14.0,0
9,660616,13.0,16.0,0
10,660608,15.0,14.0,1
11,660570,14.0,17.0,1
12,660562,16.0,16.0,1
13,660558,14.0,17.0,0
14,660553,16.0,17.0,0
15,660547,14.0,15.0,1
16,660540,17.0,15.0,0
17,660534,13.0,13.0,0
18,660522,15.0,18.0,1
19,660509,14.0,15.0,0
20,660479,13.0,17.0,0
21,660478,15.0,16.0,0
22,660471,15.0,20.0,1
23,660461,14.0,18.0,0
24,660458,14.0,18.0,1
25,660447,14.0,16.0,1
26,660432,11.0,18.0,1
27,660424,15.0,19.0,1
28,660423,13.0,18.0,0
29,660410,16.0,18.0,1
30,660402,15.0,18.0,1
31,660374,13.0,15.0,0
32,660361,15.0,13.0,0
33,660339,12.0,15.0,0
34,660333,15.0,17.0,1
35,660321,14.0,15.0,1
36,660312,12.0,18.0,0
37,660267,13.0,20.0,1
38,660255,14.0,15.0,0
39,660236,14.0,19.0,1
40,660235,14.0,15.0,0
41,660222,13.0,18.0,0
42,660215,14.0,15.0,0
43,660203,13.0,18.0,0
44,660194,10.0,18.0,0
45,660180,13.0,18.0,0
46,660174,15.0,20.0,0
47,660153,17.0,15.0,0
48,660149,12.0,15.0,0
49,660128,17.0,15.0,0
50,660087,15.0,16.0,1
51,660070,17.0,18.0,0
52,660069,13.0,15.0,0
53,660050,16.0,15.0,0
54,660048,13.0,15.0,0
55,660030,15.0,15.0,0
56,659998,15.0,13.0,1
57,659963,16.0,15.0,1
58,659942,14.0,18.0,0
59,659937,11.0,13.0,0
60,659931,13.0,16.0,0
61,659925,14.0,15.0,0
62,659918,15.0,18.0,1
63,659896,15.0,15.0,0
64,659889,12.0,18.0,1
65,659875,15.0,14.0,1
66,659853,15.0,18.0,1
67,659849,15.0,16.0,1
68,659833,12.0,14.0,0
69,659830,15.0,15.0,0
70,659819,16.0,19.0,0
71,659820,13.0,18.0,0
72,659806,13.0,15.0,0
73,659784,14.0,15.0,0
74,659782,13.0,17.0,0
75,659779,12.0,17.0,1
76,659727,14.0,20.0,1
77,659722,14.0,15.0,1
78,659720,10.0,15.0,0
79,659710,14.0,16.0,1
80,659708,14.0,14.0,0
81,659705,14.0,15.0,1
82,659704,15.0,16.0,1
83,659700,17.0,15.0,0
84,659696,16.0,15.0,1
85,659685,14.0,13.0,0
86,659676,14.0,13.0,0
87,659644,15.0,18.0,0
88,659631,14.0,20.0,1
89,659630,13.0,14.0,0
90,659614,15.0,15.0,0
91,659607,15.0,14.0,1
92,659600,15.0,18.0,0
93,659582,13.0,15.0,0
94,659567,9.0,18.0,0
95,659562,12.0,17.0,0
96,659555,9.0,15.0,0
97,659545,15.0,15.0,0
98,659523,16.0,16.0,1
99,659507,15.0,20.0,1
100,659492,14.0,13.0,0
101,659480,15.0,15.0,1
102,659474,13.0,18.0,0
103,659469,14.0,15.0,0
104,659463,15.0,15.0,1
105,659447,14.0,16.0,0
106,659438,14.0,15.0,0
107,659437,15.0,15.0,1
108,659411,15.0,15.0,0
109,659407,13.0,15.0,0
110,659395,14.0,18.0,1
111,659371,13.0,18.0,1
112,659369,14.0,19.0,1
113,659366,11.0,15.0,0
114,659364,14.0,15.0,1
115,659357,13.0,15.0,0
116,659345,13.0,15.0,0
117,659334,15.0,14.0,0
118,659293,15.0,13.0,0
119,659287,14.0,15.0,0
120,659283,14.0,18.0,1
121,659281,14.0,18.0,0
122,659263,16.0,15.0,1
123,659248,16.0,15.0,0
124,659244,12.0,18.0,0
125,659241,15.0,13.0,0
126,659238,16.0,18.0,0
127,659221,15.0,18.0,0
128,659217,13.0,18.0,0
129,659203,16.0,15.0,1
130,659191,15.0,19.0,1
131,659182,14.0,14.0,0
132,659170,11.0,15.0,0
133,659158,14.0,19.0,1
134,659153,14.0,15.0,1
135,659146,13.0,20.0,1
136,659142,14.0,16.0,0
137,659141,15.0,16.0,1
138,659138,16.0,15.0,0
139,659132,14.0,14.0,0
140,659123,14.0,17.0,0
141,659117,14.0,13.0,0
142,659106,14.0,20.0,1
143,659094,14.0,13.0,0
144,659079,12.0,15.0,0
145,659076,13.0,15.0,0
146,659074,13.0,14.0,0
147,659069,14.0,18.0,0
148,659057,13.0,16.0,0
149,659050,14.0,13.0,0
150,659038,15.0,19.0,1
151,659036,14.0,14.0,1
152,659016,15.0,18.0,0
153,659013,13.0,17.0,0
154,658983,16.0,18.0,1
155,658976,12.0,15.0,0
156,658932,13.0,13.0,0
157,658917,14.0,18.0,0
158,658888,14.0,13.0,0
159,658856,14.0,15.0,0
160,658852,15.0,16.0,1
161,658831,15.0,17.0,1
162,658828,14.0,16.0,0
163,658826,14.0,16.0,1
164,658793,14.0,20.0,1
165,658779,13.0,15.0,0
166,658773,14.0,15.0,0
167,658766,13.0,15.0,0
168,658756,16.0,16.0,0
169,658744,13.0,17.0,0
170,658714,14.0,13.0,0
171,658689,13.0,17.0,0
172,658686,14.0,16.0,0
173,658677,13.0,15.0,0
174,658675,14.0,20.0,1
175,658656,13.0,15.0,0
176,658652,14.0,16.0,0
177,658648,14.0,18.0,1
178,658634,14.0,19.0,1
179,658627,14.0,15.0,1
180,658623,14.0,15.0,1
181,658620,14.0,15.0,0
182,658618,17.0,13.0,0
183,658612,14.0,15.0,0
184,658606,11.0,15.0,0
185,658597,15.0,15.0,0
186,658571,14.0,16.0,1
187,658561,14.0,20.0,1
188,658546,16.0,16.0,1
189,658531,15.0,16.0,1
190,658527,17.0,15.0,0
191,658481,16.0,15.0,0
192,658470,17.0,15.0,0
193,658458,14.0,17.0,0
194,658448,15.0,18.0,0
195,658432,15.0,17.0,1
196,658430,14.0,15.0,0
197,658421,15.0,15.0,0
198,658407,17.0,15.0,0
199,658405,17.0,15.0,0
200,658398,16.0,17.0,1
201,658353,15.0,15.0,0
202,658323,15.0,15.0,0
203,658322,12.0,13.0,0
204,658321,16.0,13.0,1
205,658309,14.0,19.0,1
206,658299,13.0,13.0,0
207,658288,15.0,15.0,0
208,658281,13.0,16.0,0
209,658278,11.0,15.0,0
210,658277,15.0,16.0,1
211,658264,15.0,17.0,1
212,658258,14.0,18.0,1
213,658243,14.0,17.0,1
214,658234,12.0,18.0,0
215,658231,14.0,13.0,1
216,658222,10.0,18.0,1
217,658220,12.0,15.0,0
218,658206,13.0,18.0,0
219,658203,15.0,15.0,1
220,658193,15.0,18.0,1
221,658188,14.0,13.0,0
222,658178,14.0,15.0,0
223,658142,16.0,15.0,1
224,658107,15.0,15.0,0
225,658089,14.0,14.0,1
226,658081,14.0,15.0,0
227,658071,14.0,17.0,0
228,658070,13.0,18.0,0
229,658063,15.0,15.0,0
230,658048,13.0,17.0,1
231,658029,14.0,14.0,0
232,658023,15.0,15.0,0
233,658017,14.0,18.0,0
234,658011,14.0,18.0,0
235,657995,14.0,16.0,0
236,657990,14.0,15.0,0
237,657971,14.0,13.0,0
238,657968,15.0,18.0,1
239,657951,14.0,18.0,0
240,657941,15.0,15.0,1
241,657920,17.0,15.0,0
242,657905,14.0,17.0,1
243,657902,15.0,16.0,0
244,657899,13.0,15.0,0
245,657887,15.0,15.0,0
246,657882,14.0,13.0,0
247,657879,13.0,15.0,0
248,657828,15.0,15.0,0
249,657823,14.0,17.0,1
250,657821,14.0,17.0,0
251,657803,15.0,18.0,0
252,657777,14.0,17.0,0
253,657754,13.0,17.0,0
254,657741,16.0,15.0,1
255,657731,15.0,19.0,1
256,657717,15.0,15.0,0
257,657703,14.0,15.0,0
258,657697,12.0,15.0,0
259,657691,14.0,13.0,0
260,657686,15.0,15.0,1
261,657676,13.0,15.0,0
262,657660,14.0,15.0,1
263,657655,15.0,15.0,0
264,657644,17.0,15.0,1
265,657643,17.0,15.0,0
266,657620,12.0,15.0,0
267,657611,14.0,17.0,1
268,657609,16.0,15.0,1
269,657590,14.0,19.0,1
270,657586,14.0,19.0,1
271,657572,15.0,15.0,1
272,657510,13.0,15.0,0
273,657502,12.0,15.0,0
274,657500,14.0,15.0,0
275,657480,11.0,15.0,0
276,657477,14.0,19.0,1
277,657470,15.0,14.0,0
278,657452,15.0,15.0,0
279,657436,12.0,13.0,0
280,657426,15.0,14.0,0
281,657423,13.0,16.0,0
282,657421,15.0,18.0,0
283,657390,13.0,18.0,0
284,657388,15.0,15.0,0
285,657386,15.0,15.0,0
286,657385,14.0,15.0,0
287,657381,14.0,13.0,0
288,657379,15.0,18.0,1
289,657356,12.0,15.0,0
290,657327,17.0,15.0,0
291,657318,15.0,15.0,0
292,657316,15.0,18.0,0
293,657313,14.0,18.0,1
294,657311,8.0,15.0,0
295,657302,14.0,15.0,0
296,657295,13.0,18.0,0
297,657267,14.0,16.0,0
298,657261,12.0,18.0,1
299,657247,14.0,20.0,1
300,657226,17.0,15.0,0
301,657225,15.0,17.0,1
302,657224,14.0,13.0,0
303,657220,15.0,18.0,0
304,657186,14.0,15.0,0
305,657183,14.0,20.0,0
306,657174,15.0,15.0,1
307,657148,15.0,15.0,1
308,657142,14.0,15.0,0
309,657139,16.0,18.0,1
310,657138,14.0,15.0,0
311,657123,15.0,18.0,0
312,657117,14.0,13.0,0
313,657101,13.0,18.0,0
314,657092,14.0,15.0,0
315,657077,12.0,15.0,0
316,657073,9.0,18.0,0
317,657045,16.0,16.0,1
318,657038,14.0,15.0,1
319,657033,16.0,18.0,1
320,657032,16.0,17.0,1
321,657031,13.0,17.0,0
322,657014,13.0,15.0,0
323,657010,15.0,15.0,0
324,657002,15.0,14.0,0
325,656976,13.0,18.0,0
326,656962,14.0,15.0,0
327,656948,15.0,16.0,1
328,656945,14.0,13.0,0
329,656939,14.0,18.0,0
330,656938,15.0,16.0,0
331,656911,16.0,20.0,1
332,656900,15.0,15.0,0
333,656896,14.0,13.0,0
334,656887,16.0,15.0,0
335,656880,14.0,20.0,1
336,656875,12.0,15.0,0
337,656859,13.0,17.0,0
338,656852,12.0,15.0,0
339,656833,10.0,17.0,0
340,656795,14.0,15.0,0
341,656789,13.0,15.0,0
342,656778,14.0,13.0,0
343,656776,13.0,18.0,0
344,656754,14.0,15.0,0
345,656743,15.0,18.0,1
346,656729,12.0,13.0,0
347,656723,12.0,20.0,0
348,656715,14.0,19.0,1
349,656698,15.0,15.0,0
350,656685,15.0,18.0,1
351,656682,15.0,15.0,0
352,656681,14.0,15.0,0
353,656668,15.0,20.0,1
354,656665,14.0,15.0,0
355,656660,14.0,15.0,0
356,656644,15.0,15.0,1
357,656621,13.0,18.0,0
358,656594,16.0,16.0,1
359,656589,14.0,17.0,0
360,656586,15.0,14.0,0
361,656580,12.0,13.0,0
362,656576,11.0,15.0,0
363,656571,15.0,18.0,0
364,656563,14.0,17.0,1
365,656560,14.0,13.0,0
366,656559,15.0,15.0,0
367,656527,14.0,13.0,0
368,656526,17.0,15.0,0
369,656516,14.0,20.0,1
370,656511,13.0,20.0,1
371,656504,15.0,15.0,0
372,656493,14.0,13.0,0
373,656492,15.0,18.0,1
374,656483,14.0,17.0,1
375,656481,14.0,13.0,0
376,656478,15.0,18.0,0
377,656469,15.0,15.0,1
378,656463,12.0,15.0,0
379,656457,15.0,16.0,1
380,656448,17.0,15.0,0
381,656413,15.0,15.0,0
382,656412,14.0,13.0,0
383,656402,14.0,15.0,0
384,656400,13.0,15.0,0
385,656399,15.0,18.0,1
386,656385,14.0,13.0,0
387,656382,14.0,18.0,0
388,656381,13.0,17.0,0
389,656378,13.0,15.0,0
390,656362,14.0,15.0,0
391,656359,12.0,15.0,0
392,656356,15.0,17.0,1
393,656354,14.0,13.0,0
394,656345,13.0,17.0,0
395,656340,15.0,15.0,0
396,656331,14.0,18.0,1
397,656327,10.0,15.0,0
398,656276,15.0,15.0,0
399,656271,16.0,15.0,0
400,656265,14.0,18.0,1
401,656259,14.0,18.0,1
402,656233,17.0,15.0,0
403,656231,12.0,15.0,0
404,656213,14.0,15.0,1
405,656184,13.0,13.0,1
406,656176,15.0,20.0,1
407,656126,15.0,15.0,1
408,656120,12.0,17.0,0
409,656096,13.0,15.0,0
410,656078,13.0,15.0,0
411,656072,12.0,15.0,0
412,656049,14.0,13.0,0
413,656036,13.0,15.0,0
414,656031,14.0,15.0,0
415,656030,14.0,13.0,0
416,656015,12.0,15.0,0
417,655953,13.0,18.0,0
418,655949,14.0,18.0,0
419,655940,13.0,15.0,0
420,655936,13.0,15.0,0
421,655916,14.0,18.0,0
422,655899,13.0,18.0,1
423,655889,16.0,15.0,0
424,655886,15.0,15.0,0
425,655798,13.0,16.0,0
426,655793,14.0,18.0,1
427,655782,16.0,12.0,0
428,655777,14.0,15.0,0
