,lead_number,origin,source,no_email,converted,visits,visit_time,visit_pages,last_activity,country,specialization,hear_about,occupation,matters_most,search,recommendations,quality,profile,city,activity_index,profile_index,mti_copy,last_notable
0,660737,API,Olark Chat,0,0,0.0,0,0.0,Page Visited on Website,Unknown,Unknown,Unknown,Unemployed,Better Career Prospects,0,0,Low in Relevance,Unknown,Unknown,2,2,0,Modified
1,660728,API,Organic Search,0,0,5.0,674,2.5,Email Opened,India,Unknown,Unknown,Unemployed,Better Career Prospects,0,0,Unknown,Unknown,Unknown,2,2,0,Email Opened
2,660727,Landing Page Submission,Direct Traffic,0,1,2.0,1532,2.0,Email Opened,India,Business Administration,Unknown,Student,Better Career Prospects,0,0,Might be,Potential Lead,Mumbai,2,3,1,Email Opened
3,660719,Landing Page Submission,Direct Traffic,0,0,1.0,305,1.0,Unreachable,India,Media and Advertising,Word Of Mouth,Unemployed,Better Career Prospects,0,0,Not Sure,Unknown,Mumbai,2,2,0,Modified
4,660681,Landing Page Submission,Google,0,1,2.0,1428,1.0,Converted to Lead,India,Unknown,Other,Unemployed,Better Career Prospects,0,0,Might be,Unknown,Mumbai,2,3,0,Modified
5,660680,API,Olark Chat,0,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,3,2,0,Modified
6,660673,Landing Page Submission,Google,0,1,2.0,1640,2.0,Email Opened,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,0,0,Low in Relevance,Potential Lead,Mumbai,2,3,0,Modified
7,660664,API,Olark Chat,0,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,2,2,0,Modified
8,660624,Landing Page Submission,Direct Traffic,0,0,2.0,71,2.0,Email Opened,India,IT Projects Management,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Thane & Outskirts,2,1,1,Email Opened
9,660616,API,Google,0,0,4.0,58,4.0,Email Opened,India,Finance Management,Word Of Mouth,Unknown,Unknown,0,0,Unknown,Unknown,Mumbai,2,2,0,Email Opened
10,660608,Landing Page Submission,Organic Search,0,1,8.0,1351,8.0,Email Opened,India,Travel and Tourism,Unknown,Unemployed,Better Career Prospects,0,0,Might be,Unknown,Other Metro Cities,2,1,1,Email Opened
11,660570,Landing Page Submission,Direct Traffic,0,1,8.0,1343,2.67,Page Visited on Website,India,Human Resource Management,Unknown,Unemployed,Better Career Prospects,0,0,Unknown,Unknown,Thane & Outskirts,2,2,1,Page Visited on Website
12,660562,API,Organic Search,0,1,11.0,1538,9.0,Email Opened,India,Marketing Management,Unknown,Unemployed,Better Career Prospects,0,0,Might be,Potential Lead,Unknown,3,2,0,Modified
13,660558,Landing Page Submission,Organic Search,0,0,5.0,170,5.0,Email Opened,India,Business Administration,Unknown,Unemployed,Better Career Prospects,0,0,Unknown,Unknown,Thane & Outskirts,2,2,1,Email Opened
14,660553,Landing Page Submission,Direct Traffic,1,0,1.0,481,1.0,Email Bounced,Russia,Business Administration,Unknown,Unemployed,Better Career Prospects,0,0,Unknown,Unknown,Unknown,3,2,0,Email Bounced
15,660547,API,Organic Search,0,1,6.0,1012,6.0,Email Opened,India,Unknown,Unknown,Unemployed,Better Career Prospects,0,0,Might be,Unknown,Unknown,2,2,0,Email Opened
16,660540,API,Olark Chat,0,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,3,2,0,Modified
17,660534,API,Referral Sites,0,0,6.0,973,6.0,Email Link Clicked,India,Unknown,Unknown,Unemployed,Better Career Prospects,0,0,Might be,Unknown,Unknown,2,1,0,Modified
18,660522,Landing Page Submission,Google,0,1,6.0,1688,3.0,Page Visited on Website,India,Marketing Management,Multiple Sources,Unemployed,Better Career Prospects,0,0,Unknown,Unknown,Mumbai,2,3,0,Page Visited on Website
19,660509,API,Organic Search,0,0,3.0,98,3.0,Page Visited on Website,India,Unknown,Unknown,Unemployed,Better Career Prospects,0,0,Worst,Unknown,Unknown,2,2,0,Modified
20,660479,Landing Page Submission,Google,0,0,1.0,233,1.0,Unreachable,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,0,0,Not Sure,Unknown,Mumbai,2,2,0,Modified
21,660478,API,Google,0,0,4.0,377,1.33,Page Visited on Website,India,Unknown,Unknown,Unemployed,Better Career Prospects,0,0,Worst,Potential Lead,Unknown,2,2,0,Modified
22,660471,Landing Page Submission,Google,0,1,1.0,1013,1.0,Converted to Lead,India,"Banking, Investment And Insurance",Advertisements,Unemployed,Better Career Prospects,0,0,Low in Relevance,Potential Lead,Mumbai,2,3,0,Modified
23,660461,Landing Page Submission,Google,0,0,4.0,771,4.0,Email Link Clicked,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,0,0,Not Sure,Unknown,Mumbai,2,3,0,Email Link Clicked
24,660458,API,Google,0,1,6.0,1137,1.5,Email Opened,India,Marketing Management,Unknown,Unemployed,Better Career Prospects,0,0,High in Relevance,Potential Lead,Mumbai,2,3,1,Email Opened
